item_id,effect_id,effect_type,mechanic,value,unit,condition,trigger,target_scope,nonhero_behavior,objective_behavior,stacking,max_stacks,duration,cooldown,confidence,source_ids,notes
upgrade_extra_charge,eff_bonus_ability_charges,passive,bonus_ability_charges,1,count,"Immer, solange das Item ausgerüstet ist.",equipped,Self,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: BonusAbilityCharges. Exposure-Basis: current_default_infobox_label. Wiki-Label: Bonus Ability Charges.
upgrade_extra_charge,eff_bonus_spirit_for_charged_abilities,passive,bonus_spirit_for_charged_abilities,7,spirit_power,Quellbedingung (englischer Tooltip): Adds one to your ability max charges.,passive_item_rule,Self_or_source_defined,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: BonusSpiritForChargedAbilities. Exposure-Basis: current_default_infobox_label. Wiki-Label: Bonus Spirit Power for Charged Abilities.
upgrade_improved_spirit,eff_tech_power,passive,tech_power,10,spirit_power,"Immer, solange das Item ausgerüstet ist.",equipped,Self,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: TechPower. Exposure-Basis: current_default_infobox_label. Wiki-Label: Spirit Power.
upgrade_goose_egg,eff_ability_channel_time,active,ability_channel_time,2,seconds,"Quellbedingung (englischer Tooltip): Gain souls over time, as long as you are alive.",item_activation,Self_or_source_defined,,,,,,,medium,"[""SRC-0004"",""SRC-0005""]",Rohfeld: AbilityChannelTime. Exposure-Basis: structured_timing_or_target_field. Wiki-Label: Channel Duration.
upgrade_goose_egg,eff_bonus_gold_per_minute,active,bonus_gold_per_minute,90,souls,"Quellbedingung (englischer Tooltip): Gain souls over time, as long as you are alive.",item_activation,Self_or_source_defined,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: BonusGoldPerMinute. Exposure-Basis: current_default_infobox_label. Wiki-Label: Soul Value per Minute.
upgrade_goose_egg,eff_outgoing_damage_penalty_percent,damage,outgoing_damage_penalty_percent,-10,percent,"Quellbedingung (englischer Tooltip): Gain souls over time, as long as you are alive.",item_activation,Self_or_source_defined,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: OutgoingDamagePenaltyPercent. Exposure-Basis: current_default_infobox_label. Wiki-Label: Damage Penalty.
upgrade_goose_egg,eff_bonus_sprint_speed,movement,bonus_sprint_speed,1,m/s,"Immer, solange das Item ausgerüstet ist.",equipped,Self,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: BonusSprintSpeed. Exposure-Basis: current_default_infobox_label. Wiki-Label: Sprint Speed.
upgrade_goose_egg,eff_out_of_combat_health_regen,healing,out_of_combat_health_regen,1,hp_per_second,"Immer, solange das Item ausgerüstet ist.",equipped,Self,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: OutOfCombatHealthRegen. Exposure-Basis: current_default_infobox_label. Wiki-Label: Out of Combat Regen.
upgrade_goose_egg,eff_starting_gold,active,starting_gold,400,souls,"Quellbedingung (englischer Tooltip): Gain souls over time, as long as you are alive.",item_activation,Self_or_source_defined,,,,,,,medium,"[""SRC-0004"",""SRC-0005""]",Rohfeld: StartingGold. Exposure-Basis: current_item_notes_exception.
upgrade_goose_egg,eff_bonus_buffs_per_gold,active,bonus_buffs_per_gold,80,souls,"Quellbedingung (englischer Tooltip): Gain souls over time, as long as you are alive.",item_activation,Self_or_source_defined,,,,,,,medium,"[""SRC-0004"",""SRC-0005""]",Rohfeld: BonusBuffsPerGold. Exposure-Basis: current_item_notes_exception.
upgrade_magic_burst,eff_ability_cooldown,cooldown,ability_cooldown,14,seconds,"Quellbedingung (englischer Tooltip): Charges up over time with {g:citadel_inline_attribute:'BonusSpiritDamage'}, causing abilities dealing more than 80 damage to deal additional damage.",passive_proc_cooldown,AllEnemy,,,,,,14,medium,"[""SRC-0004"",""SRC-0005""]",Rohfeld: AbilityCooldown. Exposure-Basis: structured_timing_or_target_field. Wiki-Label: Cooldown.
upgrade_magic_burst,eff_damage,damage,damage,40,damage,"Quellbedingung (englischer Tooltip): Charges up over time with {g:citadel_inline_attribute:'BonusSpiritDamage'}, causing abilities dealing more than 80 damage to deal additional damage.",passive_item_rule,AllEnemy,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: Damage. Exposure-Basis: current_default_infobox_label. Wiki-Label: Damage.
upgrade_magic_burst,eff_ability_charge_up_time,charge_up,ability_charge_up_time,14,seconds,"Quellbedingung (englischer Tooltip): Charges up over time with {g:citadel_inline_attribute:'BonusSpiritDamage'}, causing abilities dealing more than 80 damage to deal additional damage.",passive_item_rule,AllEnemy,,,,,,,medium,"[""SRC-0004"",""SRC-0005""]",Rohfeld: AbilityChargeUpTime. Exposure-Basis: structured_timing_or_target_field. Wiki-Label: Charge-Up Time.
upgrade_magic_reach,eff_tech_range_multiplier,passive,tech_range_multiplier,20,percent,"Immer, solange das Item ausgerüstet ist.",equipped,Self,,,,,,,high,"[""SRC-0004"",""SRC-0005""]",Rohfeld: TechRangeMultiplier. Exposure-Basis: current_default_infobox_label. Wiki-Label: Ability Range.
