interaction_id,hero_id,ability_id,ability_effect_reference,other_entity_type,other_entity_id,interaction_type,mechanic,behavior,value,unit,condition,target_scope,test_status,verified_patch,confidence,source_ids,notes
HINT-0001,abrams,abrams_siphon_life,abrams_siphon_life::non_hero_healing_factor,nonhero_unit,nonhero_unit,special_case,non_hero_healing_factor,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,35,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0002,abrams,abrams_infernal_resilience,abrams_infernal_resilience::non_hero_heal_pct,nonhero_unit,nonhero_unit,special_case,non_hero_heal_pct,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,40,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0003,apollo,apollo_flawless_advance,apollo_flawless_advance::parry_cooldown_reduction,global_mechanic,cooldown_rules,special_case,parry_cooldown_reduction,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,5,percent,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0004,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,CursedNonHero,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0005,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_enabled_state_mask_1,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_enabled_state_mask_1,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,HealingDisabled,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0006,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_enabled_state_mask_2,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_enabled_state_mask_2,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,Disarmed,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0007,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_enabled_state_mask_3,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_enabled_state_mask_3,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,Silenced,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0008,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_enabled_state_mask_4,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_enabled_state_mask_4,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,Muted,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0009,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_enabled_state_mask_5,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_enabled_state_mask_5,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,DashDisabledDebuff,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0010,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_enabled_state_mask_6,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_enabled_state_mask_6,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,SilenceMovementAbilites,identifier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
