uncertainty_id,entity_type,entity_id,question,importance,current_evidence,confidence,source_ids,resolution_needed
UNC-0001,manifest,client_build,Welche exakte Client-Build-ID entspricht dem verifizierten Patch?,high,deadlock.wiki und die offizielle Patchseite nennen im geprüften Material keine Build-ID.,low,"[""SRC-0001"",""SRC-0002"",""SRC-0003""]",Client oder offizielles Build-Metadatum auslesen und mit dem Patchzeitpunkt abgleichen.
UNC-0002,dataset_sync,objective_data,"Sind NpcData, Convars und MiscData vollständig mit dem Patch vom 22.08.2026 synchron?",high,Die strukturierten Revisionen liegen vor dem neuesten Patch; aktuelle gerenderte Objective-Seiten stimmen bei den übernommenen Werten überwiegend überein.,medium,"[""SRC-0010"",""SRC-0011"",""SRC-0012"",""SRC-0013"",""SRC-0014"",""SRC-0015"",""SRC-0016"",""SRC-0017"",""SRC-0018""]",Aktuellen Client-Dump gegen die Wiki-Datenrevisionen diffen.
UNC-0003,economy,refund,Endet die volle Rückgabe beim Schließen des Shopfensters oder erst beim Verlassen des Shopbereichs?,medium,Items nennt das Schließen des Fensters; The Curiosity Shop nennt das Verlassen des Shopbereichs.,low,"[""SRC-0006"",""SRC-0007""]",Im aktuellen Client testen und eindeutige UI-Regel dokumentieren.
UNC-0004,upgrade_rule,temporary_slot_requirement,Benötigt ein Komponenten-Upgrade bei vollem Inventar vorübergehend einen zusätzlichen Slot?,high,"Die Wiki dokumentiert Kostenrabatt und Upgrade-Kanten, aber keine explizite temporäre Slotregel.",low,"[""SRC-0006"",""SRC-0007""]",Upgrade mit vollem 12-Slot-Inventar im aktuellen Client testen.
UNC-0005,item_targeting,objective_behavior,"Welche Items können Guardians, Walkers, Shrines, Patron oder Mid-Boss auslösen beziehungsweise treffen?",high,"ItemData nennt TargetTypes, dokumentiert Objective-Verhalten aber nicht für jedes Item eindeutig; NPC und Objective werden nicht gleichgesetzt.",low,"[""SRC-0004"",""SRC-0042""]",Systematischen Client-Test pro Item/Objective durchführen; Ergebnisse später in data/interactions/ ablegen.
UNC-0006,objective,shrine.reward_souls,"Gewähren Shrines im aktuellen Client eine Soul-Bounty, und wenn ja wie hoch?",medium,Die aktuelle Shrine-Seite nennt im Destruction-Abschnitt keinen Reward; die Historie nennt eine frühere Erhöhung von 0 auf 2000.,low,"[""SRC-0016"",""SRC-0010""]",Aktuellen Client testen oder aktuelle Convar/Objective-Bounty-Struktur identifizieren.
UNC-0007,objective,shrine.base_bullet_resist_percent,"Warum zeigt der aktuelle Wert 20 %, während die sichtbare Update-Historie zuletzt 10 % nennt?",medium,Gerenderte aktuelle Seite und NpcData zeigen 20 %; die sichtbare Historie nennt April 2026 als Änderung auf 10 % ohne späteren Eintrag.,medium,"[""SRC-0016"",""SRC-0010""]",Fehlende Patch-/Datendiff-Änderung identifizieren; aktueller Wert 20 bleibt wegen übereinstimmender aktueller Primärdaten erhalten.
UNC-0008,objective_mechanic,walker.stomp.cooldown,Beträgt der aktuelle Walker-Stomp-Cooldown 6 oder 7 Sekunden?,high,NpcData nennt AbilityCooldown 6; die aktuelle Walker-Seite nennt 7 Sekunden.,low,"[""SRC-0010"",""SRC-0015""]",Im aktuellen Client messen oder zuständige Ability-Konfiguration eindeutig auflösen.
UNC-0009,objective_mechanic,patron.phase_2_explosion.cooldown,Beträgt der aktuelle Pit-Explosion-Cooldown 15 Sekunden oder entspricht er einem anders kodierten Rohwert?,high,"Patron-Seite nennt 15 Sekunden; NpcData zeigt für die zugehörig wirkende Ability AbilityCooldown 1, möglicherweise nicht die tatsächliche Wiederholrate.",low,"[""SRC-0010"",""SRC-0017""]",Ability-Skript oder Client-Timing prüfen.
UNC-0010,mechanic,damage_reduction_stacking,Wann wird Valves beabsichtigtes multiplikatives Damage-Reduction-Stacking vollständig im Client umgesetzt?,high,"Die Wiki nennt multiplikative Absicht, dokumentiert aber anhand Live-Tests weiterhin additive Standard-Reduktionen.",low,"[""SRC-0040""]",Nach jedem Patch erneut im Client testen; nicht mit Resistenz-Stacking gleichsetzen.
UNC-0011,mechanic,slide_threshold,"Liegt die aktuelle Mindestgeschwindigkeit zum Sliden bei 8,9 oder 9,6 m/s?",medium,"Movement nennt 8,9 m/s; Mechanics nennt 9,6 m/s.",low,"[""SRC-0020"",""SRC-0032""]",Aktuellen Client messen oder Convar identifizieren.
UNC-0013,upgrade_rule,multi_component_payment,"Wie wird die Kassenzahlung bei Leech und Sharpshooter berechnet, wenn beide Komponenten vorhanden sind?",medium,Die Shopseite sagt Preis minus bereits ausgegebene Komponenten; die Einzelkante allein bildet den gemeinsamen Besitz zweier Komponenten nicht vollständig ab.,medium,"[""SRC-0004"",""SRC-0007""]",Multi-Komponenten-Kauf im Client bestätigen; economy.json hält die Aggregatregel getrennt von edge.additional_cost.
UNC-0014,item_mechanics,non_exposed_raw_fields,Sind nicht im aktuellen Default-Infoboxtext sichtbare ItemData-Rohfelder aktive Mechaniken oder ungenutzte Alt-/Implementierungsfelder?,high,Mehrere Rohfelder widersprechen sichtbaren aktuellen Tooltips (zum Beispiel ältere Kill-Stack-Felder). Sie wurden deshalb nicht als aktuelle Effekte ausgegeben.,medium,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]",Rohfelder einzeln per Client-Dump/Ability-Skript verifizieren; nur danach als aktuelle Effekte übernehmen.
UNC-0015,item_mechanics,prose_only_edge_cases,Welche ausschließlich in Itemseiten-Notes beschriebenen Sonderinteraktionen benötigen zusätzliche atomare Mechanikzeilen?,high,"Die strukturierten Daten, Default-Infoboxwerte, Tooltips und TargetTypes sind erfasst; freie Notes können zusätzliche, teils hero-spezifische oder client-testabhängige Randfälle enthalten.",medium,"[""SRC-0004"",""SRC-0005"",""SRC-0006""]",Itemseiten-Notes in der nachfolgenden Interaction-Research einzeln prüfen; hero-spezifische Ergebnisse nach data/interactions/ routen und nur globale Regeln in data/core/ ergänzen.
